order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-104708,2026-06-27,North,Delhi,Noise-Cancelling Headphones,Electronics,1,9208,9208,CUST-67135,Marketplace
UK-2026-100215,2026-01-09,South,Bengaluru,Mixer Grinder 750W,Home & Kitchen,1,3277,3277,CUST-93087,App
UK-2026-100963,2026-02-19,West,Ahmedabad,Cricket Bat English Willow,Sports,1,8989,8989,CUST-69183,App
UK-2026-101726,2026-03-06,Central,Nagpur,Robot Vacuum R7,Home & Kitchen,1,19413,19413,CUST-53182,App
UK-2026-102792,2026-04-11,North,Delhi,Mirrorless Camera Lite,Electronics,1,30001,30001,CUST-22070,Marketplace
UK-2026-104763,2026-06-10,North,Delhi,Vitamin C Serum,Beauty,2,687,1374,CUST-19921,App
UK-2026-102874,2026-04-14,South,Chennai,Badminton Racket Set,Sports,1,2501,2501,CUST-26143,App
UK-2026-103261,2026-05-29,West,Surat,43-inch Smart TV,Electronics,1,26450,26450,CUST-21162,Website
UK-2026-104563,2026-06-27,Central,Bhopal,Badminton Racket Set,Sports,4,2401,9604,CUST-90725,Website
UK-2026-102245,2026-04-15,North,Delhi,Mixer Grinder 750W,Home & Kitchen,1,3324,3324,CUST-61537,Marketplace
UK-2026-101505,2026-03-09,North,Chandigarh,Electric Kettle 1.5L,Home & Kitchen,1,1136,1136,CUST-45929,App
UK-2026-101515,2026-03-09,East,Guwahati,Running Sneakers,Fashion,4,2764,11056,CUST-60569,Marketplace
UK-2026-103283,2026-05-14,South,Hyderabad,Wireless Earbuds Pro,Electronics,1,3028,3028,CUST-47981,Marketplace
UK-2026-100260,2026-01-30,West,Mumbai,Football Size 5,Sports,2,869,1738,CUST-16959,App
UK-2026-103972,2026-05-07,North,Delhi,Denim Jacket,Fashion,1,2295,2295,CUST-87614,App
UK-2026-101630,2026-03-15,South,Kochi,Wireless Earbuds Pro,Electronics,1,2945,2945,CUST-73997,App
UK-2026-103985,2026-05-23,East,Bhubaneswar,Noise-Cancelling Headphones,Electronics,2,8971,17942,CUST-85691,App
UK-2026-104040,2026-06-13,South,Bengaluru,43-inch Smart TV,Electronics,3,24892,74676,CUST-21443,App
UK-2026-101816,2026-03-25,North,Gurugram,Slim Fit Jeans,Fashion,1,1591,1591,CUST-84758,App
UK-2026-103462,2026-05-18,North,Chandigarh,Non-Stick Cookware Set,Home & Kitchen,1,2760,2760,CUST-60887,App
UK-2026-100703,2026-01-08,West,Pune,Cricket Bat English Willow,Sports,1,9249,9249,CUST-10491,App
UK-2026-104027,2026-06-13,East,Patna,Dinner Set 24pc,Home & Kitchen,1,2514,,CUST-87677,App
UK-2026-100085,2026-01-13,North,Noida,Cotton Kurta Set,Fashion,1,1270,1270,CUST-28340,Website
UK-2026-104933,29-06-26,South,Chennai,Silk Saree,Fashion,1,3498,3498,CUST-48848,App
UK-2026-102840,2026-04-26,South,Kochi,Cotton Kurta Set,Fashion,1,1335,1335,CUST-21696,App
UK-2026-102908,2026-04-12,South,Kochi,Ultrabook Air 14,Electronics,2,30355,60710,CUST-66003,Marketplace
UK-2026-102369,2026-04-08,North,Delhi,Ultrabook Air 14,Electronics,1,28924,28924,CUST-28335,Website
UK-2026-103768,2026-05-06,West,Mumbai,Smart Watch X2,Electronics,1,4373,4373,CUST-27877,Marketplace
UK-2026-101946,2026-03-02,North,Chandigarh,Running Sneakers,Fashion,1,2752,2752,CUST-14888,Website
UK-2026-102041,2026-03-11,Central,Bhopal,Bluetooth Speaker Mini,Electronics,2,1448,2896,CUST-76539,App
UK-2026-103212,2026-05-27,East,Guwahati,Noise-Cancelling Headphones,Electronics,2,8590,17180,CUST-39070,Website
UK-2026-104977,2026-06-28,South,Kochi,Electric Kettle 1.5L,Home & Kitchen,1,1090,1090,CUST-91814,Website
UK-2026-103389,2026-05-24,South,Chennai,Dinner Set 24pc,Home & Kitchen,2,2404,4808,CUST-89049,App
UK-2026-102021,2026-03-10,South,Chennai,Face Wash Combo,Beauty,1,444,444,CUST-30540,Website
UK-2026-101046,2026-02-04,West,Ahmedabad,Football Size 5,Sports,2,897,1794,CUST-61134,App
UK-2026-104413,2026-06-21,South,Hyderabad,Mirrorless Camera Lite,Electronics,2,29756,59512,CUST-69231,App
UK-2026-100384,2026-01-11,South,Hyderabad,Denim Jacket,Fashion,1,2248,2248,CUST-97247,Website
UK-2026-102607,2026-04-20,West,Pune,Modern Wall Clock,Home & Kitchen,1,837,837,CUST-46554,Website
UK-2026-103874,2026-05-05,South,Bengaluru,Formal Shirt,Fashion,2,1051,2102,CUST-90893,App
UK-2026-103603,2026-05-26,South,Hyderabad,Wireless Earbuds Pro,Electronics,1,2900,2900,CUST-82093,Marketplace
UK-2026-102978,2026-04-06,West,Pune,Silk Saree,Fashion,1,3501,3501,CUST-63503,Marketplace
UK-2026-100654,2026-01-22,West,Mumbai,Eau de Parfum 100ml,Beauty,2,1949,3898,CUST-42565,App
UK-2026-102186,2026-03-26,Central,Indore,Ethnic Dupatta,Fashion,1,512,512,CUST-80839,App
UK-2026-104709,2026-06-15,South,Hyderabad,Leather Wallet,Fashion,2,925,1850,CUST-93149,Marketplace
UK-2026-104671,2026-06-27,North,Delhi,Wireless Earbuds Pro,Electronics,1,2988,2988,CUST-82140,Website
UK-2026-101671,2026-03-18,South,Bengaluru,Running Sneakers,Fashion,1,2755,2755,CUST-54500,App
UK-2026-100324,2026-01-08,Central,Indore,Vitamin C Serum,Beauty,3,718,2154,CUST-63536,Website
UK-2026-104225,2026-06-18,North,Chandigarh,Cricket Bat English Willow,Sports,1,9091,9091,CUST-23182,App
UK-2026-103521,2026-05-08,South,Hyderabad,Makeup Brush Set,Beauty,2,1271,2542,CUST-98296,App
UK-2026-102733,2026-04-26,East,Bhubaneswar,Vitamin C Serum,Beauty,2,664,1328,CUST-16381,Website
UK-2026-102864,2026-04-05,West,Ahmedabad,Non-Stick Cookware Set,Home & Kitchen,1,2878,2878,CUST-38964,Marketplace
UK-2026-103081,2026-04-27,Central,Raipur,Beard Grooming Kit,Beauty,1,997,997,CUST-35473,App
UK-2026-103756,2026-05-23,Central,Nagpur,Cricket Bat English Willow,Sports,1,9083,9083,CUST-21402,App
UK-2026-100213,2026-01-03,West,Pune,Power Bank 20000mAh,Electronics,2,1791,3582,CUST-10958,App
UK-2026-104691,2026-06-17,North,Noida,Gym Gloves,Sports,1,507,507,CUST-93714,Website
UK-2026-102543,2026-04-21,West,Mumbai,Electric Kettle 1.5L,Home & Kitchen,1,1058,1058,CUST-44718,App
UK-2026-102206,2026-03-27,West,Surat,Modern Wall Clock,Home & Kitchen,1,819,819,CUST-94051,Website
UK-2026-103791,2026-05-08,South,Bengaluru,Modern Wall Clock,Home & Kitchen,1,816,816,CUST-11963,Marketplace
UK-2026-103375,2026-05-26,West,Pune,Mirrorless Camera Lite,Electronics,1,29882,29882,CUST-53325,Marketplace
UK-2026-100089,2026-01-01,East,Bhubaneswar,Modern Wall Clock,Home & Kitchen,2,825,1650,CUST-76721,Website
UK-2026-100081,2026-01-23,West,Ahmedabad,Power Bank 20000mAh,Electronics,1,1801,1801,CUST-78165,App
UK-2026-100512,2026-01-08,South,Bengaluru,Beard Grooming Kit,Beauty,2,1020,2040,CUST-64983,App
UK-2026-103670,2026-05-20,East,Kolkata,Adjustable Dumbbells 15kg,Sports,2,5144,10288,CUST-79156,Website
UK-2026-100902,2026-02-11,Central,Nagpur,Wireless Earbuds Pro,Electronics,1,2955,2955,CUST-98862,App
UK-2026-102651,2026-04-19,Central,Raipur,Silk Saree,Fashion,1,3375,3375,CUST-82468,App
UK-2026-101950,2026-03-09,South,Hyderabad,Ionic Hair Dryer,Beauty,1,1823,1823,CUST-94180,Website
UK-2026-104211,"Jun 29, 2026",North,Chandigarh,Cotton Kurta Set,Fashion,1,1329,1329,CUST-73997,Website
UK-2026-103733,2026-05-21,West,Ahmedabad,Noise-Cancelling Headphones,Electronics,4,8955,35820,CUST-83338,Website
UK-2026-100475,2026-01-24,Central,Bhopal,Cotton Bedsheet Set,Home & Kitchen,3,1428,4284,CUST-82034,Website
UK-2026-101097,2026-02-23,South,Hyderabad,43-inch Smart TV,Electronics,4,24811,99244,CUST-76160,Marketplace
UK-2026-100920,2026-02-27,East,Patna,Cycling Helmet,Sports,1,1578,1578,CUST-53325,Website
UK-2026-100249,2026-01-04,Central,Indore,Ionic Hair Dryer,Beauty,1,1870,1870,CUST-42596,Website
UK-2026-104685,2026-06-05,North,Noida,Denim Jacket,Fashion,1,2103,2103,CUST-54753,Marketplace
UK-2026-101603,2026-03-24,West,Pune,Mixer Grinder 750W,Home & Kitchen,1,3313,3313,CUST-87416,App
UK-2026-100410,2026-01-29,Central,Raipur,Cotton Kurta Set,Fashion,4,1285,5140,CUST-97030,App
UK-2026-101622,2026-03-04,West,Pune,Air Fryer 5L,Home & Kitchen,1,5399,5399,CUST-77759,Website
UK-2026-102128,2026-03-17,South,Kochi,Ionic Hair Dryer,Beauty,1,1825,1825,CUST-38135,Website
UK-2026-100855,2026-02-18,West,Ahmedabad,Slim Fit Jeans,Fashion,1,1642,1642,CUST-84998,Website
UK-2026-103460,2026-05-01,South,Chennai,Smart Watch X2,Electronics,1,4540,4540,CUST-24552,Website
UK-2026-104377,2026-06-08,Central,Bhopal,Slim Fit Jeans,Fashion,1,1619,1619,CUST-25440,App
UK-2026-101526,"Mar 17, 2026",South,Chennai,Cotton Kurta Set,Fashion,1,1342,1342,CUST-98424,App
UK-2026-102196,2026-03-16,East,Guwahati,Leather Wallet,Fashion,3,882,2646,CUST-40493,App
UK-2026-101663,2026-03-16,West,Mumbai,Robot Vacuum R7,Home & Kitchen,1,19804,19804,CUST-18773,App
UK-2026-102002,2026-03-10,South,Hyderabad,Air Fryer 5L,Home & Kitchen,1,5320,5320,CUST-26674,Website
UK-2026-101930,06-03-26,West,Ahmedabad,Noise-Cancelling Headphones,Electronics,1,8958,8958,CUST-80012,App
UK-2026-100755,2026-02-08,South,Kochi,Makeup Brush Set,Beauty,1,1308,1308,CUST-43806,Website
UK-2026-102092,2026-03-22,South,Chennai,Smart Watch X2,Electronics,2,4382,8764,CUST-62942,App
UK-2026-101440,2026-02-10,Central,Raipur,Beard Grooming Kit,Beauty,1,1047,1047,CUST-77392,Website
UK-2026-104659,2026-06-05,West,Ahmedabad,Dinner Set 24pc,Home & Kitchen,1,2480,2480,CUST-26708,Marketplace
UK-2026-101241,2026-02-25,North,Gurugram,Formal Shirt,Fashion,1,1067,1067,CUST-22432,App
UK-2026-104738,2026-06-16,South,Kochi,Noise-Cancelling Headphones,Electronics,1,8898,8898,CUST-95666,Marketplace
UK-2026-103536,2026-05-18,North,Gurugram,Robot Vacuum R7,Home & Kitchen,1,18216,18216,CUST-30705,App
UK-2026-102497,2026-04-05,West,Mumbai,Mixer Grinder 750W,Home & Kitchen,1,3373,3373,CUST-99802,App
UK-2026-102710,2026-04-17,Central,Indore,Foldable Treadmill T2,Sports,2,25824,51648,CUST-32885,App
UK-2026-101597,2026-03-27,North,Delhi,Robot Vacuum R7,Home & Kitchen,4,19102,76408,CUST-29048,Website
UK-2026-100824,2026-02-02,Central,Bhopal,Silk Saree,Fashion,1,3557,,CUST-27441,Website
UK-2026-103413,2026-05-30,North,Gurugram,Denim Jacket,Fashion,1,2162,2162,CUST-47954,App
UK-2026-104385,2026-06-28,West,Surat,Denim Jacket,Fashion,,2252,2252,CUST-37659,Website
UK-2026-104168,2026-06-28,Central,Bhopal,Wireless Earbuds Pro,Electronics,1,3130,3130,CUST-85755,Marketplace
UK-2026-101729,2026-03-04,Central,Bhopal,Gym Gloves,Sports,1,492,492,CUST-18213,Website
UK-2026-102271,05-04-26,West,Pune,Electric Kettle 1.5L,Home & Kitchen,1,1144,1144,CUST-46651,App
UK-2026-104610,2026-06-27,,Ahmedabad,Ultrabook Air 14,Electronics,2,28890,57780,CUST-42101,Marketplace
UK-2026-101985,2026-03-19,West,Surat,Ultrabook Air 14,Electronics,2,29731,59462,CUST-60402,Marketplace
UK-2026-102702,2026-04-28,West,Pune,Modern Wall Clock,Home & Kitchen,2,771,1542,CUST-53182,App
UK-2026-101771,2026-03-14,East,Patna,Beard Grooming Kit,Beauty,1,981,981,CUST-86289,App
UK-2026-103253,2026-05-28,East,Guwahati,Electric Kettle 1.5L,Home & Kitchen,3,1097,3291,CUST-51042,App
UK-2026-101937,2026-03-24,South,Bengaluru,Matte Lipstick Set,Beauty,1,864,864,CUST-57020,App
UK-2026-102924,2026-04-17,South,Bengaluru,Ethnic Dupatta,Fashion,4,519,2076,CUST-35354,App
UK-2026-104002,2026-05-29,West,Pune,Formal Shirt,Fashion,2,1079,2158,CUST-42995,Website
UK-2026-100547,2026-01-02,North,Chandigarh,Electric Kettle 1.5L,Home & Kitchen,1,1146,1146,CUST-53765,App
UK-2026-104767,2026-06-11,North,Chandigarh,Silk Saree,Fashion,3,3448,10344,CUST-88265,Marketplace
UK-2026-101377,2026-02-22,South,Hyderabad,Foldable Treadmill T2,Sports,1,25101,25101,CUST-30789,Website
UK-2026-100564,2026-01-25,South,Bangalore,Smart Watch X2,Electronics,2,4438,8876,CUST-47939,App
UK-2026-100061,2026-01-18,West,Ahmedabad,Bluetooth Speaker Mini,Electronics,1,1532,"₹1,532",CUST-54182,App
UK-2026-102322,14/04/2026,North,Noida,Cycling Helmet,Sports,2,1546,3092,CUST-78577,App
UK-2026-102126,2026-03-05,West,Ahmedabad,Modern Wall Clock,Home & Kitchen,1,809,809,CUST-29075,App
UK-2026-100156,2026-01-08,North,Noida,Mixer Grinder 750W,Home & Kitchen,2,3270,6540,CUST-43484,Website
UK-2026-102103,2026-03-14,Central,Raipur,Badminton Racket Set,Sports,1,2515,,CUST-29408,Marketplace
UK-2026-101682,2026-03-07,East,Kolkata,Mirrorless Camera Lite,Electronics,1,29385,29385,CUST-98226,Marketplace
UK-2026-104166,2026-06-07,South,Hyderabad,Sunscreen SPF50,Beauty,0,536,1608,CUST-56813,Marketplace
UK-2026-104374,24-06-26,North,Noida,43-inch Smart TV,Electronics,1,26268,26268,CUST-52432,Website
UK-2026-104232,2026-06-10,Central,Indore,Makeup Brush Set,Beauty,2,1319,2638,CUST-61482,Marketplace
UK-2026-101220,2026-02-03,East,Patna,Face Wash Combo,Beauty,1,461,461,CUST-82278,Website
UK-2026-101042,2026-02-28,West,Pune,Matte Lipstick Set,Beauty,1,912,912,CUST-32480,Website
UK-2026-104872,2026-06-02,South,Kochi,Smart Watch X2,Electronics,1,4567,4567,CUST-28933,App
UK-2026-104919,2026-06-16,Central,Indore,Mixer Grinder 750W,Home & Kitchen,1,3281,3281,CUST-25493,App
UK-2026-100762,2026-02-07,North,Gurugram,Cotton Kurta Set,Fashion,1,1263,1263,CUST-63472,Website
UK-2026-100506,2026-01-23,East,Patna,Robot Vacuum R7,Home & Kitchen,1,19380,19380,CUST-81807,Website
UK-2026-103139,2026-05-26,West,Mumbai,Cotton Bedsheet Set,Home & Kitchen,1,1434,1434,CUST-84349,Marketplace
UK-2026-104152,2026-06-02,South,Hyderabad,Formal Shirt,Fashion,2,1057,2114,CUST-74356,Website
UK-2026-103779,2026-05-08,West,Pune,Eau de Parfum 100ml,Beauty,1,2074,2074,CUST-19396,App
UK-2026-104579,2026-06-21,South,Kochi,Gym Gloves,Sports,1,496,496,CUST-50655,Marketplace
UK-2026-102817,2026-04-24,West,Pune,Foldable Treadmill T2,Sports,1,24268,24268,CUST-73416,Website
UK-2026-103989,2026-05-13,West,Pune,Leather Wallet,Fashion,1,885,885,CUST-16124,Website
UK-2026-100276,2026-01-24,West,Mumbai,Modern Wall Clock,Home & Kitchen,1,786,786,CUST-42826,App
UK-2026-100894,2026-02-24,North,Delhi,Smart Watch X2,Electronics,1,4684,4684,CUST-91084,Website
UK-2026-100897,2026-02-12,South,Kochi,Non-Stick Cookware Set,Home & Kitchen,1,2994,2994,CUST-20361,Website
UK-2026-102142,2026-03-03,South,Kochi,Wireless Earbuds Pro,Electronics,1,2931,2931,CUST-53182,App
UK-2026-103535,2026-05-20,North,Gurugram,Robot Vacuum R7,Home & Kitchen,1,19912,19912,CUST-57582,Marketplace
UK-2026-101182,2026-02-04,North,Chandigarh,Cotton Bedsheet Set,Home & Kitchen,2,1367,2734,CUST-16959,App
UK-2026-101485,2026-03-14,Central,Nagpur,Smart Watch X2,Electronics,1,4414,4414,CUST-47315,Marketplace
UK-2026-101510,2026-03-24,South,Kochi,Ionic Hair Dryer,Beauty,1,1826,1826,CUST-46889,Website
UK-2026-100496,"Jan 26, 2026",West,Ahmedabad,Cricket Bat English Willow,Sports,2,8770,17540,CUST-42155,Marketplace
UK-2026-103372,2026-05-20,South,Kochi,Air Fryer 5L,Home & Kitchen,2,5538,11076,CUST-67920,Marketplace
UK-2026-103446,2026-05-08,Central,Raipur,Mirrorless Camera Lite,Electronics,1,29379,29379,CUST-22712,Website
UK-2026-103880,2026-05-10,South,Hyderabad,43-inch Smart TV,Electronics,,26717,26717,CUST-48848,Marketplace
UK-2026-101823,2026-03-27,East,Kolkata,Non-Stick Cookware Set,Home & Kitchen,2,3000,6000,CUST-21716,Marketplace
UK-2026-100053,2026-01-14,West,Mumbai,Formal Shirt,Fashion,1,1111,1111,CUST-27738,App
UK-2026-102922,2026-04-29,South,Chennai,Vitamin C Serum,Beauty,4,665,2660,CUST-88965,Marketplace
UK-2026-103452,2026-05-17,Central,Nagpur,Denim Jacket,Fashion,4,2299,9196,CUST-51167,App
UK-2026-102416,2026-04-30,South,Kochi,Wireless Earbuds Pro,Electronics,1,2849,"2,849.00",CUST-98680,App
UK-2026-103714,2026-05-07,South,Kochi,Mirrorless Camera Lite,Electronics,4,27784,111136,CUST-53381,Marketplace
UK-2026-100817,2026-02-25,West,Pune,Mirrorless Camera Lite,Electronics,2,29166,58332,CUST-19953,Marketplace
UK-2026-104068,2026-06-09,South,Bengaluru,Power Bank 20000mAh,Electronics,1,1869,1869,CUST-54466,App
UK-2026-103171,2026-05-22,North,Delhi,Matte Lipstick Set,Beauty,1,860,860,CUST-89699,App
UK-2026-101974,2026-03-28,North,Chandigarh,Matte Lipstick Set,Beauty,1,923,923,CUST-51752,Website
UK-2026-101497,2026-03-28,West,Mumbai,Face Wash Combo,Beauty,3,442,1326,CUST-74498,App
UK-2026-104256,2026-06-25,South,Bengaluru,Formal Shirt,Fashion,1,1121,1121,CUST-32769,App
UK-2026-104431,2026-06-14,South,Chennai,Smart Watch X2,Electronics,1,4475,4475,CUST-22026,Website
UK-2026-101711,2026-03-15,South,Bengaluru,Cotton Kurta Set,Fashion,1,1332,1332,CUST-95761,Marketplace
UK-2026-103231,2026-05-02,West,Pune,Beard Grooming Kit,Beauty,1,995,995,CUST-17305,App
UK-2026-104286,2026-06-19,West,Mumbai,Cotton Kurta Set,Fashion,1,1359,1359,CUST-96889,App
UK-2026-102201,2026-03-14,East,Patna,Non-Stick Cookware Set,Home & Kitchen,3,3015,9045,CUST-99661,App
UK-2026-103708,2026-05-09,North,Noida,Power Bank 20000mAh,Electronics,1,1765,1765,CUST-13599,Website
UK-2026-103059,2026-04-14,South,Bengaluru,Ultrabook Air 14,Electronics,1,29282,29282,CUST-45487,App
UK-2026-102391,2026-04-10,South,Hyderabad,Mirrorless Camera Lite,Electronics,1,28418,28418,CUST-79226,Marketplace
UK-2026-103838,2026-05-30,West,Mumbai,Non-Stick Cookware Set,Home & Kitchen,1,2925,2925,CUST-90597,App
UK-2026-104161,2026-06-29,West,Pune,Bluetooth Speaker Mini,Electronics,2,1528,3056,CUST-78574,App
UK-2026-104166,2026-06-07,South,Hyderabad,Sunscreen SPF50,Beauty,0,536,1608,CUST-56813,Marketplace
UK-2026-100513,2026-01-31,East,Guwahati,Cotton Bedsheet Set,Home & Kitchen,2,1348,2696,CUST-86619,App
UK-2026-104639,2026-06-05,West,Mumbai,Air Fryer 5L,Home & Kitchen,2,5319,10638,CUST-26675,App
UK-2026-102099,2026-03-16,North,Chandigarh,NON-STICK COOKWARE SET,Home & Kitchen,1,3039,3039,CUST-49730,Website
UK-2026-100131,2026-01-22,Central,Indore,Face Wash Combo,Beauty,2,457,914,CUST-83063,Website
UK-2026-100682,2026-01-16,South,Chennai,Noise-Cancelling Headphones,Electronics,1,8960,8960,CUST-41525,Website
UK-2026-102575,2026-04-22,North,Chandigarh,Leather Wallet,Fashion,1,942,942,CUST-91470,App
UK-2026-104375,2026-06-23,North,Chandigarh,Dinner Set 24pc,Home & Kitchen,1,2545,2545,CUST-98275,Marketplace
UK-2026-102019,2026-03-30,South,Cochin,Formal Shirt,Fashion,1,1141,1141,CUST-79358,Website
UK-2026-102365,2026-04-27,East,Guwahati,Vitamin C Serum,Beauty,1,728,728,CUST-47315,App
UK-2026-101828,2026-03-08,North,Gurugram,Ethnic Dupatta,Fashion,1,520,520,CUST-55532,App
UK-2026-102755,2026-04-11,North,Chandigarh,Ethnic Dupatta,Fashion,3,521,1563,CUST-30789,App
UK-2026-104941,2026-06-21,Central,Indore,Non-Stick Cookware Set,Home & Kitchen,1,2979,2979,CUST-30705,Website
UK-2026-101521,2026-03-23,Central,Bhopal,Leather Wallet,Fashion,1,859,859,CUST-56984,Website
UK-2026-101312,2026-02-20,West,Pune,Ethnic Dupatta,Fashion,1,501,501,CUST-37813,App
UK-2026-101108,2026-02-18,South,Bengaluru,Ultrabook Air 14,Electronics,0,29532,29532,CUST-60306,App
UK-2026-102108,2026-03-18,Central,Indore,Ethnic Dupatta,Fashion,4,481,1924,CUST-24016,Website
UK-2026-104769,2026-06-06,South,Hyderabad,43-inch Smart TV,Electronics,1,26499,26499,CUST-44625,App
UK-2026-100568,2026-01-09,North,Gurugram,Mixer Grinder 750W,Home & Kitchen,1,3429,3429,CUST-61773,Website
UK-2026-102252,2026-04-27,East,Patna,Gym Gloves,Sports,1,492,492,CUST-86086,Website
UK-2026-102914,2026-04-20,North,Chandigarh,Formal Shirt,Fashion,1,1152,1152,CUST-54564,App
UK-2026-104214,2026-06-28,East,Patna,Mirrorless Camera Lite,Electronics,1,28896,28896,CUST-25673,App
UK-2026-102639,2026-04-19,South,Kochi,Gym Gloves,Sports,2,496,992,CUST-40132,App
UK-2026-104898,2026-06-25,West,Pune,Dinner Set 24pc,Home & Kitchen,1,2423,2423,CUST-12761,Marketplace
UK-2026-101142,2026-02-04,North,Gurugram,Sunscreen SPF50,Beauty,1,569,569,CUST-59109,App
UK-2026-103181,2026-05-12,South,Bengaluru,Gym Gloves,Sports,2,481,962,CUST-94216,Website
UK-2026-100590,2026-01-15,North,Gurugram,Sunscreen SPF50,Beauty,1,556,556,CUST-98697,Website
UK-2026-103602,2026-05-18,North,New Delhi,Mirrorless Camera Lite,Electronics,4,30218,120872,CUST-66310,Marketplace
UK-2026-102895,2026-04-23,Central,Nagpur,Bluetooth Speaker Mini,Electronics,2,1516,3032,CUST-48215,App
UK-2026-103305,2026-05-14,North,Delhi,Noise-Cancelling Headphones,Electronics,1,8939,8939,CUST-62414,App
UK-2026-103638,2026-05-11,South,Kochi,Wireless Earbuds Pro,Electronics,1,2878,2878,CUST-14093,App
UK-2026-104568,21/06/2026,South,Bengaluru,Cotton Kurta Set,Fashion,2,1292,2584,CUST-72393,App
UK-2026-101856,2026-03-19,West,Surat,Beard Grooming Kit,Beauty,1,989,989,CUST-86951,App
UK-2026-104394,2026-06-20,South,Kochi,Power Bank 20000mAh,Electronics,2,1838,3676,CUST-49181,App
UK-2026-104880,2026-06-09,South,Bengaluru,Leather Wallet,Fashion,1,876,876,CUST-45487,Marketplace
UK-2026-102782,2026-04-05,South,Bengaluru,Power Bank 20000mAh,Electronics,1,1876,1876,CUST-17387,Website
UK-2026-100801,2026-02-10,North,Noida,Non-Stick Cookware Set,Home & Kitchen,1,2921,2921,CUST-39356,Website
